,layer_num,layer_name,layer_type,min,max
250,759,diffusion_model.output_blocks.10.0.emb_layers.1,Linear,-2.8690572,1.6284345
251,764,diffusion_model.output_blocks.10.0.out_layers.3,Conv2d,-5.093129,4.5828805
252,765,diffusion_model.output_blocks.10.0.skip_connection,Conv2d,-15.311267,18.04724
253,768,diffusion_model.output_blocks.10.1.proj_in,Linear,-8.249567,6.5257215
254,772,diffusion_model.output_blocks.10.1.transformer_blocks.0.attn1.to_q,Linear,-8.780302,10.5983515
255,773,diffusion_model.output_blocks.10.1.transformer_blocks.0.attn1.to_k,Linear,-9.650863,9.760437
256,774,diffusion_model.output_blocks.10.1.transformer_blocks.0.attn1.to_v,Linear,-6.9021816,6.425739
257,776,diffusion_model.output_blocks.10.1.transformer_blocks.0.attn1.to_out.0,Linear,-4.667315,5.9308996
258,781,diffusion_model.output_blocks.10.1.transformer_blocks.0.ff.net.0.proj,Linear,-10.623852,8.742735
259,783,diffusion_model.output_blocks.10.1.transformer_blocks.0.ff.net.2,Linear,-6.5051923,9.313218
260,785,diffusion_model.output_blocks.10.1.transformer_blocks.0.attn2.to_q,Linear,-1.6976869,1.8401026
261,786,diffusion_model.output_blocks.10.1.transformer_blocks.0.attn2.to_k,Linear,-18.374603,18.616192
262,787,diffusion_model.output_blocks.10.1.transformer_blocks.0.attn2.to_v,Linear,-7.1690693,9.377947
263,789,diffusion_model.output_blocks.10.1.transformer_blocks.0.attn2.to_out.0,Linear,-2.6477306,1.7166374
264,794,diffusion_model.output_blocks.10.1.proj_out,Linear,-15.511413,26.579706
265,800,diffusion_model.output_blocks.11.0.in_layers.2,Conv2d,-9.549811,13.130197
266,804,diffusion_model.output_blocks.11.0.emb_layers.1,Linear,-3.6638467,4.222248
267,809,diffusion_model.output_blocks.11.0.out_layers.3,Conv2d,-15.08697,10.914778
268,810,diffusion_model.output_blocks.11.0.skip_connection,Conv2d,-19.57926,18.82517
269,813,diffusion_model.output_blocks.11.1.proj_in,Linear,-5.3798347,5.4705257
270,817,diffusion_model.output_blocks.11.1.transformer_blocks.0.attn1.to_q,Linear,-7.7779503,7.8991046
271,818,diffusion_model.output_blocks.11.1.transformer_blocks.0.attn1.to_k,Linear,-8.551595,9.6565075
272,819,diffusion_model.output_blocks.11.1.transformer_blocks.0.attn1.to_v,Linear,-5.278882,4.4527445
273,821,diffusion_model.output_blocks.11.1.transformer_blocks.0.attn1.to_out.0,Linear,-3.0320036,2.9117026
274,826,diffusion_model.output_blocks.11.1.transformer_blocks.0.ff.net.0.proj,Linear,-10.604843,7.4565244
275,828,diffusion_model.output_blocks.11.1.transformer_blocks.0.ff.net.2,Linear,-6.5710382,5.9688563
276,830,diffusion_model.output_blocks.11.1.transformer_blocks.0.attn2.to_q,Linear,-1.6486965,1.8851177
277,831,diffusion_model.output_blocks.11.1.transformer_blocks.0.attn2.to_k,Linear,-26.977882,21.51675
